slug,file,title,description,section,url,fetched,bytes,body_bytes,words,headings,h2s,code_blocks,tables,links,evidence
docs__partners__additional_channels_and_extensions__additional_channels__support__zendesk,docs__partners__additional_channels_and_extensions__additional_channels__support__zendesk.md,Zendesk,"This reference article outlines the partnership between Braze and Zendesk, a popular support suite that allows you to use Braze webhooks that can sync support...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/additional_channels/support/zendesk,2026-09-02,6834,6317,935,11,4,2,13,1,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions,docs__partners__additional_channels_and_extensions__extensions.md,Extensions,Browse technology partner integrations for Extensions.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions,2026-09-02,650,289,32,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__gamification,docs__partners__additional_channels_and_extensions__extensions__gamification.md,Gamification,Browse technology partner integrations for Gamification.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/gamification,2026-09-02,645,253,30,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__landing_pages,docs__partners__additional_channels_and_extensions__extensions__landing_pages.md,Landing Pages,Browse technology partner integrations for Landing Pages.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/landing_pages,2026-09-02,631,235,30,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__landing_pages__digioh,docs__partners__additional_channels_and_extensions__extensions__landing_pages__digioh.md,Digioh,"This reference article outlines the partnership between Braze and Digioh, a survey platform for creating pop-ups, forms, surveys, and communication preference centers that drive engagement...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/landing_pages/digioh,2026-09-02,2996,2458,379,7,3,2,10,2,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__landing_pages__komo,docs__partners__additional_channels_and_extensions__extensions__landing_pages__komo.md,Komo,"This reference article outlines the partnership between Braze and Komo, a customer engagement platform specializing in gamification, interactive content, competitions, prizing, and loyalty. Through this...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/landing_pages/komo,2026-09-02,3725,3179,511,9,5,0,8,1,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__learning,docs__partners__additional_channels_and_extensions__extensions__learning.md,Learning,Browse technology partner integrations for Learning.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/learning,2026-09-02,589,213,27,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__learning__edume,docs__partners__additional_channels_and_extensions__extensions__learning__edume.md,eduMe,"This reference article outlines the partnership between Braze and eduMe, a mobile-based training tool that allows you to leverage Braze Connected Content to give your...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/learning/edume,2026-09-02,3350,2847,441,5,3,2,12,1,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__rewards,docs__partners__additional_channels_and_extensions__extensions__rewards.md,Rewards,Browse technology partner integrations for Rewards.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/rewards,2026-09-02,610,238,30,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__rewards__dots_eco,docs__partners__additional_channels_and_extensions__extensions__rewards__dots_eco.md,DOTS.ECO,This reference article describes the Braze and DOTS.ECO integration.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/rewards/dots_eco,2026-09-02,5871,5462,796,9,5,2,14,2,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__rewards__nift,docs__partners__additional_channels_and_extensions__extensions__rewards__nift.md,Nift,"This reference article outlines the partnership between Braze and Nift, a two-side platform that helps companies acquire, engage, and retain customers.",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/rewards/nift,2026-09-02,2583,2103,324,7,4,0,8,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys,docs__partners__additional_channels_and_extensions__extensions__surveys.md,Surveys,Browse technology partner integrations for Surveys.,partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys,2026-09-02,667,295,33,2,1,0,0,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys__iterate,docs__partners__additional_channels_and_extensions__extensions__surveys__iterate.md,Iterate,"This reference article outlines the partnership between Braze and Iterate, allowing you to enrich customer data by using surveys to add additional insights.",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys/iterate,2026-09-02,5647,5153,836,15,6,0,8,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys__jebbit,docs__partners__additional_channels_and_extensions__extensions__surveys__jebbit.md,Jebbit,"This reference article outlines the partnership between Braze and Jebbit, a PaaS that allows you to pass user emails and attributes from your Jebbit campaigns...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys/jebbit,2026-09-02,2588,2092,331,7,4,0,8,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys__refiner,docs__partners__additional_channels_and_extensions__extensions__surveys__refiner.md,Refiner,"This reference article outlines the partnership between Braze and Refiner, allowing you to send survey events and response data into Braze to trigger campaigns, segment...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys/refiner,2026-09-02,3224,2715,412,11,7,0,8,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys__survicate,docs__partners__additional_channels_and_extensions__extensions__surveys__survicate.md,Survicate,"This reference article outlines the partnership between Braze and Survicate, a customer feedback platform that helps you collect, analyze, and act on customer insights across...",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys/survicate,2026-09-02,9643,9122,1458,18,5,0,8,0,company-own (technical)
docs__partners__additional_channels_and_extensions__extensions__surveys__typeform,docs__partners__additional_channels_and_extensions__extensions__surveys__typeform.md,Typeform,"This article outlines the partnership between Braze and Typeform, an easy-to-use tool for collecting data, feedback, and more.",partners/additional_channels_and_extensions,https://www.braze.com/docs/partners/additional_channels_and_extensions/extensions/surveys/typeform,2026-09-02,21045,20578,2913,13,5,10,16,0,company-own (technical)
docs__partners__ai_model_providers,docs__partners__ai_model_providers.md,AI Model Providers,Browse technology partner integrations for AI Model Providers.,partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers,2026-09-02,656,350,41,2,1,0,0,0,company-own (technical)
docs__partners__ai_model_providers__amazon_bedrock,docs__partners__ai_model_providers__amazon_bedrock.md,Amazon Bedrock,"This reference article outlines the partnership between Braze and Amazon Bedrock, which lets you connect Bedrock models to Braze for use with custom AI agents....",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/amazon_bedrock,2026-09-02,5029,4596,731,4,3,0,10,0,company-own (technical)
docs__partners__ai_model_providers__anthropic,docs__partners__ai_model_providers__anthropic.md,Anthropic,"This reference article outlines the partnership between Braze and Anthropic, which lets you connect Claude models to Braze for use with custom AI agents.",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/anthropic,2026-09-02,1844,1435,212,4,3,0,6,0,company-own (technical)
docs__partners__ai_model_providers__databricks_mosaic,docs__partners__ai_model_providers__databricks_mosaic.md,Databricks Mosaic,"This reference article outlines the partnership between Braze and Databricks Mosaic, which lets you connect Databricks models to Braze for use with custom AI agents....",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/databricks_mosaic,2026-09-02,2550,2102,292,4,3,0,8,0,company-own (technical)
docs__partners__ai_model_providers__google_gemini,docs__partners__ai_model_providers__google_gemini.md,Google Gemini,"This reference article outlines the partnership between Braze and Google Gemini, which lets you connect Gemini models to Braze for use with custom AI agents....",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/google_gemini,2026-09-02,2725,2297,348,4,3,0,6,0,company-own (technical)
docs__partners__ai_model_providers__microsoft_foundry,docs__partners__ai_model_providers__microsoft_foundry.md,Microsoft Foundry,"This reference article outlines the partnership between Braze and Microsoft Foundry, which lets you connect Foundry-managed AI models to Braze for use with custom AI...",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/microsoft_foundry,2026-09-02,3550,3102,476,5,4,0,12,0,company-own (technical)
docs__partners__ai_model_providers__openai,docs__partners__ai_model_providers__openai.md,OpenAI,"This reference article outlines the partnership between Braze and OpenAI, which lets you connect OpenAI models to Braze for use with custom AI agents.",partners/ai_model_providers,https://www.braze.com/docs/partners/ai_model_providers/openai,2026-09-02,1827,1430,210,4,3,0,6,0,company-own (technical)
docs__partners__canvas_audience_sync,docs__partners__canvas_audience_sync.md,Canvas Audience Sync,This landing page is where developers and marketers can find resources on available Canvas sync partners.,partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync,2026-09-02,1139,782,102,2,1,0,0,0,company-own (technical)
docs__partners__canvas_audience_sync__criteo_audience_sync,docs__partners__canvas_audience_sync__criteo_audience_sync.md,Audience Sync to Criteo,"This reference article will cover how to use Braze Audience Sync to Criteo, to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/criteo_audience_sync,2026-09-02,9084,8629,1410,15,5,0,25,0,company-own (technical)
docs__partners__canvas_audience_sync__facebook_audience_sync,docs__partners__canvas_audience_sync__facebook_audience_sync.md,Audience Sync to Facebook,"This reference article covers how to use Braze Audience Sync to Facebook to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/facebook_audience_sync,2026-09-02,21158,20700,3267,26,6,0,61,5,company-own (technical)
docs__partners__canvas_audience_sync__faq,docs__partners__canvas_audience_sync__faq.md,Frequently asked questions,This article provides answers to frequently asked questions about Audience Sync.,partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/faq,2026-09-02,5043,4696,767,7,6,0,21,0,company-own (technical)
docs__partners__canvas_audience_sync__google_audience_sync,docs__partners__canvas_audience_sync__google_audience_sync.md,Audience Sync to Google,"This reference article will cover how to use Braze Audience Sync to Google, to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/google_audience_sync,2026-09-02,18954,18499,3024,24,6,0,31,0,company-own (technical)
docs__partners__canvas_audience_sync__linkedin_audience_sync,docs__partners__canvas_audience_sync__linkedin_audience_sync.md,Audience Sync to LinkedIn,"This reference article will cover how to use Braze Audience Sync to LinkedIn to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/linkedin_audience_sync,2026-09-02,10575,10113,1632,18,5,0,25,0,company-own (technical)
docs__partners__canvas_audience_sync__overview,docs__partners__canvas_audience_sync__overview.md,About Audience Sync,"This reference article covers how to use Braze Audience Sync to Facebook, to deliver advertisements based upon behavioral triggers, segmentation,.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/overview,2026-09-02,9326,8910,1414,10,6,0,45,0,company-own (technical)
docs__partners__canvas_audience_sync__pinterest_audience_sync,docs__partners__canvas_audience_sync__pinterest_audience_sync.md,Audience Sync to Pinterest,"This reference article will cover how to use Braze Audience Sync to Pinterest, to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/pinterest_audience_sync,2026-09-02,9027,8560,1357,15,5,0,28,0,company-own (technical)
docs__partners__canvas_audience_sync__snapchat_audience_sync,docs__partners__canvas_audience_sync__snapchat_audience_sync.md,Audience Sync to Snapchat,"This reference article will cover how to use Braze Audience Sync to Snapchat, to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/snapchat_audience_sync,2026-09-02,8743,8280,1315,14,4,0,28,0,company-own (technical)
docs__partners__canvas_audience_sync__tiktok_audience_sync,docs__partners__canvas_audience_sync__tiktok_audience_sync.md,Audience Sync to TikTok,"This reference article will cover how to use Braze Audience Sync to TikTok to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/tiktok_audience_sync,2026-09-02,9614,9160,1481,17,5,0,28,0,company-own (technical)
docs__partners__canvas_audience_sync__trade_desk_audience_sync,docs__partners__canvas_audience_sync__trade_desk_audience_sync.md,Audience Sync to The Trade Desk,"This reference article covers how to use Braze Audience Sync with The Trade Desk to deliver advertisements based upon behavioral triggers, segmentation, and more.",partners/canvas_audience_sync,https://www.braze.com/docs/partners/canvas_audience_sync/trade_desk_audience_sync,2026-09-02,4485,4009,660,13,3,0,9,0,company-own (technical)
docs__partners__data_and_analytics,docs__partners__data_and_analytics.md,Data and analytics,"Explore Braze technology partners for sending, storing, and coordinating data across CDPs, warehouses, analytics, privacy, and workflow tools.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics,2026-09-02,971,585,70,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__ab_testing,docs__partners__data_and_analytics__ab_testing.md,A/B Testing,Browse technology partner integrations for A/B Testing.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/ab_testing,2026-09-02,576,261,34,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__ab_testing__eppo,docs__partners__data_and_analytics__ab_testing__eppo.md,Eppo,Learn how to integrate Eppo with Braze.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/ab_testing/eppo,2026-09-02,3273,2970,441,7,3,0,6,0,company-own (technical)
docs__partners__data_and_analytics__ab_testing__kameleoon,docs__partners__data_and_analytics__ab_testing__kameleoon.md,Kameleoon,Learn how to integrate Kameleoon with Braze,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/ab_testing/kameleoon,2026-09-02,4662,4340,629,15,4,0,12,0,company-own (technical)
docs__partners__data_and_analytics__ab_testing__optimizely,docs__partners__data_and_analytics__ab_testing__optimizely.md,Optimizely,"This reference article outlines the partnership between Braze and Optimizely that allows you to sync your Braze customer segments, events, and Currents events to Optimizely...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/ab_testing/optimizely,2026-09-02,6983,6526,1042,11,3,0,10,0,company-own (technical)
docs__partners__data_and_analytics__ab_testing__vwo,docs__partners__data_and_analytics__ab_testing__vwo.md,VWO,Learn how to integrate VWO with Braze.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/ab_testing/vwo,2026-09-02,4565,4266,631,11,5,0,12,0,company-own (technical)
docs__partners__data_and_analytics__analytics,docs__partners__data_and_analytics__analytics.md,Analytics,Browse technology partner integrations for Analytics.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics,2026-09-02,773,464,45,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__analytics__apteligent,docs__partners__data_and_analytics__analytics__apteligent.md,Apteligent,"This reference article outlines the partnership between Braze and Apteligent, a mobile application that details crash reporting, allowing you to log critical data into your...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/apteligent,2026-09-02,2556,2101,248,6,3,4,8,0,company-own (technical)
docs__partners__data_and_analytics__analytics__contentsquare,docs__partners__data_and_analytics__analytics__contentsquare.md,Contentsquare,"This reference article outlines the partnership between Braze and Contentsquare, a digital experience analytics platform that allows you to improve the relevance and conversion rates...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/contentsquare,2026-09-02,2963,2489,347,6,5,0,8,0,company-own (technical)
docs__partners__data_and_analytics__analytics__heap,docs__partners__data_and_analytics__analytics__heap.md,Heap analytics,"This reference article outlines how to use Braze Currents to automatically analyze engagement events with Heap, a digital insights platform, that allows you to import...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/heap,2026-09-02,1491,1050,160,4,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__analytics__heap__heap_cohort_import,docs__partners__data_and_analytics__analytics__heap__heap_cohort_import.md,Heap cohort import,"This reference article details the integration between Braze and Heap, a digital insights platform, that allows you to import Heap data to Braze, create user...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/heap/heap_cohort_import,2026-09-02,3413,2938,455,9,5,0,10,0,company-own (technical)
docs__partners__data_and_analytics__analytics__inbox_monster,docs__partners__data_and_analytics__analytics__inbox_monster.md,Inbox Monster,"This reference article outlines the partnership between Braze and Inbox Monster, an online email marketing tool that allows Braze customers to unlock powerful deliverability insights...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/inbox_monster,2026-09-02,2316,1842,265,4,3,0,10,1,company-own (technical)
docs__partners__data_and_analytics__analytics__kickbox,docs__partners__data_and_analytics__analytics__kickbox.md,Kickbox,"This reference article outlines the partnership between Braze and Kickbox, an email verification platform used to validate email lists or integrate verification into your application....",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/kickbox,2026-09-02,4034,3577,533,6,3,2,10,0,company-own (technical)
docs__partners__data_and_analytics__analytics__kubit,docs__partners__data_and_analytics__analytics__kubit.md,Kubit,"This reference article outlines the partnership between Braze and Kubit, a no-code, self-service analytics platform that delivers instant product insights, allowing you to import Kubit...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/kubit,2026-09-02,1914,1462,222,3,2,0,6,0,company-own (technical)
docs__partners__data_and_analytics__analytics__mixpanel,docs__partners__data_and_analytics__analytics__mixpanel.md,Mixpanel,"This reference article outlines the partnership between Braze and Mixpanel, a business analytics platform, allowing you to import Mixpanel Cohorts into Braze to create Braze...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/mixpanel,2026-09-02,4470,4020,601,11,4,0,6,0,company-own (technical)
docs__partners__data_and_analytics__analytics__mixpanel__mixpanel_cohort_import,docs__partners__data_and_analytics__analytics__mixpanel__mixpanel_cohort_import.md,Mixpanel cohort import,"This reference article outlines the cohort import functionality of Mixpanel, a business analytics platform, allowing you to import Mixpanel Cohorts into Braze to create Braze...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/mixpanel/mixpanel_cohort_import,2026-09-02,3703,3191,500,8,3,0,0,0,company-own (technical)
docs__partners__data_and_analytics__analytics__saleswings,docs__partners__data_and_analytics__analytics__saleswings.md,SalesWings,This reference article outlines the partnership between Braze and SalesWings. SalesWings is a sales and marketing operations solution for Braze that helps you qualify leads...,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/saleswings,2026-09-02,16132,15677,2281,15,5,0,109,3,company-own (technical)
docs__partners__data_and_analytics__analytics__validity,docs__partners__data_and_analytics__analytics__validity.md,Validity,"This reference article outlines the partnership between Braze and Validity, an email deliverability platform that syncs Everest seed lists to Braze and automates inbox placement...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/analytics/validity,2026-09-02,7120,6666,1000,14,5,2,12,1,company-own (technical)
docs__partners__data_and_analytics__business_intelligence,docs__partners__data_and_analytics__business_intelligence.md,Business Intelligence,Browse technology partner integrations for Business Intelligence.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence,2026-09-02,717,360,38,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__business_intelligence__clarisights,docs__partners__data_and_analytics__business_intelligence__clarisights.md,Clarisights,"This reference article outlines the partnership between Braze and Clarisights, a self-serve performance marketing reporting platform, allowing you to import data from Braze campaigns and...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence/clarisights,2026-09-02,3219,2723,385,6,5,0,10,0,company-own (technical)
docs__partners__data_and_analytics__business_intelligence__datadog,docs__partners__data_and_analytics__business_intelligence__datadog.md,Datadog,"This reference article outlines the partnership with Braze and Datadog, an observability service for cloud-scale applications, providing monitoring of servers, databases, tools, and services through...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence/datadog,2026-09-02,3392,2896,435,8,4,0,4,0,company-own (technical)
docs__partners__data_and_analytics__business_intelligence__looker,docs__partners__data_and_analytics__business_intelligence__looker.md,Looker,"This reference article outlines the partnership between Braze and Looker, a business intelligence and big-data analytics platform.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence/looker,2026-09-02,7758,7336,1102,16,3,5,18,1,company-own (technical)
docs__partners__data_and_analytics__business_intelligence__tellius,docs__partners__data_and_analytics__business_intelligence__tellius.md,Tellius,"This reference article outlines the partnership between Braze and Tellius, a decision intelligence and augmented analytics platform, allowing you to leverage data, without relying on...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence/tellius,2026-09-02,2698,2218,325,7,2,0,8,0,company-own (technical)
docs__partners__data_and_analytics__business_intelligence__thoughtspot,docs__partners__data_and_analytics__business_intelligence__thoughtspot.md,ThoughtSpot,"This reference article outlines the partnership between Braze and ThoughtSpot, a next-generation analytics platform that enables users to limitlessly search across their Braze interaction data...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/business_intelligence/thoughtspot,2026-09-02,2149,1647,232,6,3,0,6,0,company-own (technical)
docs__partners__data_and_analytics__cloud_storage,docs__partners__data_and_analytics__cloud_storage.md,Cloud Storage,Browse technology partner integrations for Cloud Storage.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cloud_storage,2026-09-02,614,289,37,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__cloud_storage__amazon_s3,docs__partners__data_and_analytics__cloud_storage__amazon_s3.md,Amazon S3,"This reference article outlines the partnership between Braze and Amazon S3, a highly scalable storage system offered by Amazon Web Services.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cloud_storage/amazon_s3,2026-09-02,17528,17102,2677,24,8,12,20,0,company-own (technical)
docs__partners__data_and_analytics__cloud_storage__google_cloud_storage_for_currents,docs__partners__data_and_analytics__cloud_storage__google_cloud_storage_for_currents.md,Google Cloud Storage,"This reference article outlines the partnership between Braze and Google Cloud Storage, a massively scalable object storage for unstructured data.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cloud_storage/google_cloud_storage_for_currents,2026-09-02,7418,6928,1069,13,4,2,8,0,company-own (technical)
docs__partners__data_and_analytics__cloud_storage__microsoft_azure_blob_storage_for_currents,docs__partners__data_and_analytics__cloud_storage__microsoft_azure_blob_storage_for_currents.md,Microsoft Azure Blob Storage,"This reference article outlines the partnership between Braze Currents and Microsoft Azure Blog Storage, a massively scalable object storage for unstructured data.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cloud_storage/microsoft_azure_blob_storage_for_currents,2026-09-02,13037,12506,1922,22,7,6,32,1,company-own (technical)
docs__partners__data_and_analytics__cohort_import,docs__partners__data_and_analytics__cohort_import.md,Cohort Import,Browse technology partner integrations for Cohort Import.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cohort_import,2026-09-02,606,281,34,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__cohort_import__appsflyer_audiences,docs__partners__data_and_analytics__cohort_import__appsflyer_audiences.md,AppsFlyer Audiences,"This reference article outlines the partnership between Braze and AppsFlyer Audiences, a feature of the AppsFlyer platform that allows you to efficiently build and connect...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cohort_import/appsflyer_audiences,2026-09-02,3370,2881,419,10,3,4,12,0,company-own (technical)
docs__partners__data_and_analytics__cohort_import__kubit,docs__partners__data_and_analytics__cohort_import__kubit.md,Kubit cohort import,"This reference article outlines the cohort import functionality of Kubit, a no-code, self-service analytics platform that delivers instant product insights, allowing you to import Kubit...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cohort_import/kubit,2026-09-02,3198,2723,452,10,2,0,0,0,company-own (technical)
docs__partners__data_and_analytics__cohort_import__splio,docs__partners__data_and_analytics__cohort_import__splio.md,Splio,"This reference article outlines the partnership between Braze and Splio, which lets you send more targeted campaigns, find new product opportunities, and elevate revenue.",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cohort_import/splio,2026-09-02,3205,2762,437,9,5,0,4,0,company-own (technical)
docs__partners__data_and_analytics__cohort_import__treasuredata,docs__partners__data_and_analytics__cohort_import__treasuredata.md,Treasure Data cohort import,This reference article outlines the cohort import functionality of Treasure Data.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/cohort_import/treasuredata,2026-09-02,9044,8654,1278,16,3,6,97,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform,docs__partners__data_and_analytics__customer_data_platform.md,Customer Data Platform,Browse technology partner integrations for Customer Data Platform.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform,2026-09-02,997,636,63,2,1,0,0,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__actioniq,docs__partners__data_and_analytics__customer_data_platform__actioniq.md,ActionIQ,"This reference article covers the Braze and ActionIQ integration. ActionIQ is an enterprise customer data platform for marketers, analysts, and technologists. This integration allows brands...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/actioniq,2026-09-02,4813,4321,639,10,3,0,8,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__adobe,docs__partners__data_and_analytics__customer_data_platform__adobe.md,Adobe,This landing page is home to everything Adobe including how to integrate Adobe and use the event forwarding extension.,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/adobe,2026-09-02,820,411,57,1,0,0,0,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__adobe__adobe,docs__partners__data_and_analytics__customer_data_platform__adobe__adobe.md,Adobe,"This page outlines the partnership between Braze and Adobe, a customer data platform, that allows brands to connect and map their Adobe data (custom attributes...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/adobe/adobe,2026-09-02,6600,6134,912,12,5,0,19,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__adobe__adobe_for_currents,docs__partners__data_and_analytics__customer_data_platform__adobe__adobe_for_currents.md,Adobe for Currents,"This reference article outlines the partnership between Braze Currents and Adobe, a customer data platform that allows brands to connect and map their Adobe data...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/adobe/adobe_for_currents,2026-09-02,4495,3988,587,7,2,0,22,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__adobe__event_forwarding_extension,docs__partners__data_and_analytics__customer_data_platform__adobe__event_forwarding_extension.md,Track Events API event forwarding extension,This reference article covers the Braze event forward extension that allows you to leverage data captured in the Adobe Experience Platform Edge Network and send...,partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension,2026-09-02,10458,9911,1522,10,3,0,117,0,company-own (technical)
docs__partners__data_and_analytics__customer_data_platform__amperity,docs__partners__data_and_analytics__customer_data_platform__amperity.md,Amperity,"This reference article outlines the partnership between Braze and Amperity, a comprehensive enterprise customer data platform, allowing you to sync Amperity users, unify data, send...",partners/data_and_analytics,https://www.braze.com/docs/partners/data_and_analytics/customer_data_platform/amperity,2026-09-02,10889,10406,1635,28,3,0,12,2,company-own (technical)
